  388    MG   CLD     4      0.981    0.984    0.003 
  389   CHA   CLD     4      0.341    0.358    0.017 
  390   CHB   CLD     4     -0.482   -0.467    0.015 
  391   HHB   CLD     4      0.153    0.148   -0.005 
  392   CHC   CLD     4     -0.100   -0.182   -0.082 
  393   HHC   CLD     4      0.107    0.112    0.005 
  394   CHD   CLD     4     -0.176   -0.341   -0.165 
  395   HHD   CLD     4      0.142    0.154    0.012 
  396    NA   CLD     4     -0.498   -0.529   -0.031 
  397   C1A   CLD     4     -0.075   -0.054    0.021 
  398   C2A   CLD     4      0.138    0.146    0.008 
  399   H2A   CLD     4      0.002    0.003    0.001 
  400   C3A   CLD     4      0.048    0.047   -0.001 
  401   H3A   CLD     4      0.030    0.030    0.000 
  402   C4A   CLD     4      0.448    0.471    0.023 
  403   CMA   CLD     4     -0.421   -0.413    0.008 
  404  HMA1   CLD     4      0.116    0.114   -0.002 
  405  HMA2   CLD     4      0.116    0.114   -0.002 
  406  HMA3   CLD     4      0.116    0.114   -0.002 
  407   CAA   CLD     4      0.128    0.127   -0.001 
  408  HAA1   CLD     4     -0.024   -0.024    0.000 
  409  HAA2   CLD     4     -0.024   -0.024    0.000 
  410   CBA   CLD     4     -0.250   -0.247    0.003 
  411  HBA1   CLD     4      0.030    0.028   -0.002 
  412  HBA2   CLD     4      0.030    0.028   -0.002 
  413   CGA   CLD     4      0.783    0.783    0.000 
  414   O1A   CLD     4     -0.544   -0.544    0.000 
  415   O2A   CLD     4     -0.331   -0.331    0.000 
  416    NB   CLD     4     -0.442   -0.437    0.005 
  417   C1B   CLD     4      0.143    0.115   -0.028 
  418   C2B   CLD     4      0.260    0.236   -0.024 
  419   C3B   CLD     4     -0.071   -0.110   -0.039 
  420   C4B   CLD     4      0.094    0.158    0.064 
  421   CMB   CLD     4     -0.550   -0.548    0.002 
  422  HMB1   CLD     4      0.154    0.153   -0.001 
  423  HMB2   CLD     4      0.154    0.153   -0.001 
  424  HMB3   CLD     4      0.154    0.153   -0.001 
  425   CAB   CLD     4     -0.106   -0.098    0.008 
  426   HAB   CLD     4      0.126    0.125   -0.001 
  427   CBB   CLD     4     -0.360   -0.375   -0.015 
  428  HBB1   CLD     4      0.161    0.162    0.001 
  429  HBB2   CLD     4      0.161    0.162    0.001 
  430    NC   CLD     4     -0.342   -0.424   -0.082 
  431   C1C   CLD     4     -0.081   -0.005    0.076 
  432   C2C   CLD     4      0.315    0.329    0.014 
  433   C3C   CLD     4     -0.216   -0.231   -0.015 
  434   C4C   CLD     4      0.115    0.279    0.164 
  435   CMC   CLD     4     -0.611   -0.609    0.002 
  436  HMC1   CLD     4      0.167    0.167    0.000 
  437  HMC2   CLD     4      0.167    0.167    0.000 
  438  HMC3   CLD     4      0.167    0.167    0.000 
  439   CAC   CLD     4      0.133    0.135    0.002 
  440  HAC1   CLD     4      0.005    0.004   -0.001 
  441  HAC2   CLD     4      0.005    0.004   -0.001 
  442   CBC   CLD     4     -0.223   -0.223    0.000 
  443  HBC1   CLD     4      0.060    0.060    0.000 
  444  HBC2   CLD     4      0.060    0.060    0.000 
  445  HBC3   CLD     4      0.060    0.060    0.000 
  446    ND   CLD     4     -0.465   -0.500   -0.035 
  447   C1D   CLD     4      0.090    0.225    0.135 
  448   C2D   CLD     4      0.225    0.168   -0.057 
  449   C3D   CLD     4     -0.286   -0.291   -0.005 
  450   C4D   CLD     4      0.073    0.111    0.038 
  451   CMD   CLD     4     -0.490   -0.480    0.010 
  452  HMD1   CLD     4      0.145    0.145    0.000 
  453  HMD2   CLD     4      0.145    0.145    0.000 
  454  HMD3   CLD     4      0.145    0.145    0.000 
  455   CAD   CLD     4      0.734    0.731   -0.003 
  456   OBD   CLD     4     -0.483   -0.490   -0.007 
  457   CBD   CLD     4     -0.870   -0.917   -0.047 
  458  HBD1   CLD     4      0.235    0.245    0.010 
  459   CGD   CLD     4      0.832    0.838    0.006 
  460   O1D   CLD     4     -0.527   -0.527    0.000 
  461   O2D   CLD     4     -0.284   -0.280    0.004 
  462   CED   CLD     4     -0.212   -0.215   -0.003 
  463  HED1   CLD     4      0.126    0.127    0.001 
  464  HED2   CLD     4      0.126    0.127    0.001 
  465  HED3   CLD     4      0.126    0.127    0.001 
  466    C1   CLD     4     -0.191   -0.191    0.000 
  467    H1   CLD     4      0.182    0.182    0.000 
  468    H2   CLD     4      0.181    0.181    0.000 
  469    C2   CLD     4     -0.150   -0.150    0.000 
  470    H3   CLD     4      0.150    0.150    0.000 
  471    C3   CLD     4      0.000    0.000    0.000 
  472    C4   CLD     4     -0.270   -0.270    0.000 
  473    H5   CLD     4      0.090    0.090    0.000 
  474    H6   CLD     4      0.090    0.090    0.000 
  475    H7   CLD     4      0.090    0.090    0.000 
  476    C5   CLD     4     -0.270   -0.270    0.000 
  477    H8   CLD     4      0.090    0.090    0.000 
  478    H9   CLD     4      0.090    0.090    0.000 
  479   H10   CLD     4      0.090    0.090    0.000 
