  480    MG   CLE     5      0.981    0.984    0.003 
  481   CHA   CLE     5      0.341    0.358    0.017 
  482   CHB   CLE     5     -0.482   -0.467    0.015 
  483   HHB   CLE     5      0.153    0.148   -0.005 
  484   CHC   CLE     5     -0.100   -0.182   -0.082 
  485   HHC   CLE     5      0.107    0.112    0.005 
  486   CHD   CLE     5     -0.176   -0.341   -0.165 
  487   HHD   CLE     5      0.142    0.154    0.012 
  488    NA   CLE     5     -0.498   -0.529   -0.031 
  489   C1A   CLE     5     -0.075   -0.054    0.021 
  490   C2A   CLE     5      0.138    0.146    0.008 
  491   H2A   CLE     5      0.002    0.003    0.001 
  492   C3A   CLE     5      0.048    0.047   -0.001 
  493   H3A   CLE     5      0.030    0.030    0.000 
  494   C4A   CLE     5      0.448    0.471    0.023 
  495   CMA   CLE     5     -0.421   -0.413    0.008 
  496  HMA1   CLE     5      0.116    0.114   -0.002 
  497  HMA2   CLE     5      0.116    0.114   -0.002 
  498  HMA3   CLE     5      0.116    0.114   -0.002 
  499   CAA   CLE     5      0.128    0.127   -0.001 
  500  HAA1   CLE     5     -0.024   -0.024    0.000 
  501  HAA2   CLE     5     -0.024   -0.024    0.000 
  502   CBA   CLE     5     -0.250   -0.247    0.003 
  503  HBA1   CLE     5      0.030    0.028   -0.002 
  504  HBA2   CLE     5      0.030    0.028   -0.002 
  505   CGA   CLE     5      0.783    0.783    0.000 
  506   O1A   CLE     5     -0.544   -0.544    0.000 
  507   O2A   CLE     5     -0.331   -0.331    0.000 
  508    NB   CLE     5     -0.442   -0.437    0.005 
  509   C1B   CLE     5      0.143    0.115   -0.028 
  510   C2B   CLE     5      0.260    0.236   -0.024 
  511   C3B   CLE     5     -0.071   -0.110   -0.039 
  512   C4B   CLE     5      0.094    0.158    0.064 
  513   CMB   CLE     5     -0.550   -0.548    0.002 
  514  HMB1   CLE     5      0.154    0.153   -0.001 
  515  HMB2   CLE     5      0.154    0.153   -0.001 
  516  HMB3   CLE     5      0.154    0.153   -0.001 
  517   CAB   CLE     5     -0.106   -0.098    0.008 
  518   HAB   CLE     5      0.126    0.125   -0.001 
  519   CBB   CLE     5     -0.360   -0.375   -0.015 
  520  HBB1   CLE     5      0.161    0.162    0.001 
  521  HBB2   CLE     5      0.161    0.162    0.001 
  522    NC   CLE     5     -0.342   -0.424   -0.082 
  523   C1C   CLE     5     -0.081   -0.005    0.076 
  524   C2C   CLE     5      0.315    0.329    0.014 
  525   C3C   CLE     5     -0.216   -0.231   -0.015 
  526   C4C   CLE     5      0.115    0.279    0.164 
  527   CMC   CLE     5     -0.611   -0.609    0.002 
  528  HMC1   CLE     5      0.167    0.167    0.000 
  529  HMC2   CLE     5      0.167    0.167    0.000 
  530  HMC3   CLE     5      0.167    0.167    0.000 
  531   CAC   CLE     5      0.133    0.135    0.002 
  532  HAC1   CLE     5      0.005    0.004   -0.001 
  533  HAC2   CLE     5      0.005    0.004   -0.001 
  534   CBC   CLE     5     -0.223   -0.223    0.000 
  535  HBC1   CLE     5      0.060    0.060    0.000 
  536  HBC2   CLE     5      0.060    0.060    0.000 
  537  HBC3   CLE     5      0.060    0.060    0.000 
  538    ND   CLE     5     -0.465   -0.500   -0.035 
  539   C1D   CLE     5      0.090    0.225    0.135 
  540   C2D   CLE     5      0.225    0.168   -0.057 
  541   C3D   CLE     5     -0.286   -0.291   -0.005 
