  590    MG   CLF     6      0.981    0.984    0.003 
  591   CHA   CLF     6      0.341    0.358    0.017 
  592   CHB   CLF     6     -0.482   -0.467    0.015 
  593   HHB   CLF     6      0.153    0.148   -0.005 
  594   CHC   CLF     6     -0.100   -0.182   -0.082 
  595   HHC   CLF     6      0.107    0.112    0.005 
  596   CHD   CLF     6     -0.176   -0.341   -0.165 
  597   HHD   CLF     6      0.142    0.154    0.012 
  598    NA   CLF     6     -0.498   -0.529   -0.031 
  599   C1A   CLF     6     -0.075   -0.054    0.021 
  600   C2A   CLF     6      0.138    0.146    0.008 
  601   H2A   CLF     6      0.002    0.003    0.001 
  602   C3A   CLF     6      0.048    0.047   -0.001 
  603   H3A   CLF     6      0.030    0.030    0.000 
  604   C4A   CLF     6      0.448    0.471    0.023 
  605   CMA   CLF     6     -0.421   -0.413    0.008 
  606  HMA1   CLF     6      0.116    0.114   -0.002 
  607  HMA2   CLF     6      0.116    0.114   -0.002 
  608  HMA3   CLF     6      0.116    0.114   -0.002 
  609   CAA   CLF     6      0.128    0.127   -0.001 
  610  HAA1   CLF     6     -0.024   -0.024    0.000 
  611  HAA2   CLF     6     -0.024   -0.024    0.000 
  612   CBA   CLF     6     -0.250   -0.247    0.003 
  613  HBA1   CLF     6      0.030    0.028   -0.002 
  614  HBA2   CLF     6      0.030    0.028   -0.002 
  615   CGA   CLF     6      0.783    0.783    0.000 
  616   O1A   CLF     6     -0.352   -0.352    0.000 
  617   O2A   CLF     6     -0.351   -0.351    0.000 
  618    NB   CLF     6     -0.442   -0.437    0.005 
  619   C1B   CLF     6      0.143    0.115   -0.028 
  620   C2B   CLF     6      0.260    0.236   -0.024 
  621   C3B   CLF     6     -0.071   -0.110   -0.039 
  622   C4B   CLF     6      0.094    0.158    0.064 
  623   CMB   CLF     6     -0.550   -0.548    0.002 
  624  HMB1   CLF     6      0.154    0.153   -0.001 
  625  HMB2   CLF     6      0.154    0.153   -0.001 
  626  HMB3   CLF     6      0.154    0.153   -0.001 
  627   CAB   CLF     6     -0.106   -0.098    0.008 
  628   HAB   CLF     6      0.126    0.125   -0.001 
  629   CBB   CLF     6     -0.360   -0.375   -0.015 
  630  HBB1   CLF     6      0.161    0.162    0.001 
  631  HBB2   CLF     6      0.161    0.162    0.001 
  632    NC   CLF     6     -0.342   -0.424   -0.082 
  633   C1C   CLF     6     -0.081   -0.005    0.076 
  634   C2C   CLF     6      0.315    0.329    0.014 
  635   C3C   CLF     6     -0.216   -0.231   -0.015 
  636   C4C   CLF     6      0.115    0.279    0.164 
  637   CMC   CLF     6     -0.611   -0.609    0.002 
  638  HMC1   CLF     6      0.167    0.167    0.000 
  639  HMC2   CLF     6      0.167    0.167    0.000 
  640  HMC3   CLF     6      0.167    0.167    0.000 
  641   CAC   CLF     6      0.133    0.135    0.002 
  642  HAC1   CLF     6      0.005    0.004   -0.001 
  643  HAC2   CLF     6      0.005    0.004   -0.001 
  644   CBC   CLF     6     -0.223   -0.223    0.000 
  645  HBC1   CLF     6      0.060    0.060    0.000 
  646  HBC2   CLF     6      0.060    0.060    0.000 
  647  HBC3   CLF     6      0.060    0.060    0.000 
  648    ND   CLF     6     -0.465   -0.500   -0.035 
  649   C1D   CLF     6      0.090    0.225    0.135 
  650   C2D   CLF     6      0.225    0.168   -0.057 
  651   C3D   CLF     6     -0.286   -0.291   -0.005 
  652   C4D   CLF     6      0.073    0.111    0.038 
  653   CMD   CLF     6     -0.490   -0.480    0.010 
  654  HMD1   CLF     6      0.145    0.145    0.000 
  655  HMD2   CLF     6      0.145    0.145    0.000 
  656  HMD3   CLF     6      0.145    0.145    0.000 
  657   CAD   CLF     6      0.734    0.731   -0.003 
  658   OBD   CLF     6     -0.483   -0.490   -0.007 
  659   CBD   CLF     6     -0.870   -0.917   -0.047 
  660  HBD1   CLF     6      0.235    0.245    0.010 
  661   CGD   CLF     6      0.832    0.838    0.006 
  662   O1D   CLF     6     -0.527   -0.527    0.000 
  663   O2D   CLF     6     -0.284   -0.280    0.004 
  664   CED   CLF     6     -0.212   -0.215   -0.003 
  665  HED1   CLF     6      0.126    0.127    0.001 
  666  HED2   CLF     6      0.126    0.127    0.001 
  667  HED3   CLF     6      0.126    0.127    0.001 
