  790    MG   CLH     8      0.981    0.984    0.003 
  791   CHA   CLH     8      0.341    0.358    0.017 
  792   CHB   CLH     8     -0.482   -0.467    0.015 
  793   HHB   CLH     8      0.153    0.148   -0.005 
  794   CHC   CLH     8     -0.100   -0.182   -0.082 
  795   HHC   CLH     8      0.107    0.112    0.005 
  796   CHD   CLH     8     -0.176   -0.341   -0.165 
  797   HHD   CLH     8      0.142    0.154    0.012 
  798    NA   CLH     8     -0.498   -0.529   -0.031 
  799   C1A   CLH     8     -0.075   -0.054    0.021 
  800   C2A   CLH     8      0.138    0.146    0.008 
  801   H2A   CLH     8      0.002    0.003    0.001 
  802   C3A   CLH     8      0.048    0.047   -0.001 
  803   H3A   CLH     8      0.030    0.030    0.000 
  804   C4A   CLH     8      0.448    0.471    0.023 
  805   CMA   CLH     8     -0.421   -0.413    0.008 
  806  HMA1   CLH     8      0.116    0.114   -0.002 
  807  HMA2   CLH     8      0.116    0.114   -0.002 
  808  HMA3   CLH     8      0.116    0.114   -0.002 
  809   CAA   CLH     8      0.128    0.127   -0.001 
  810  HAA1   CLH     8     -0.024   -0.024    0.000 
  811  HAA2   CLH     8     -0.024   -0.024    0.000 
  812   CBA   CLH     8     -0.250   -0.247    0.003 
  813  HBA1   CLH     8      0.030    0.028   -0.002 
  814  HBA2   CLH     8      0.030    0.028   -0.002 
  815   CGA   CLH     8      0.783    0.783    0.000 
  816   O1A   CLH     8     -0.544   -0.544    0.000 
  817   O2A   CLH     8     -0.331   -0.331    0.000 
  818    NB   CLH     8     -0.442   -0.437    0.005 
  819   C1B   CLH     8      0.143    0.115   -0.028 
  820   C2B   CLH     8      0.260    0.236   -0.024 
  821   C3B   CLH     8     -0.071   -0.110   -0.039 
  822   C4B   CLH     8      0.094    0.158    0.064 
  823   CMB   CLH     8     -0.550   -0.548    0.002 
  824  HMB1   CLH     8      0.154    0.153   -0.001 
  825  HMB2   CLH     8      0.154    0.153   -0.001 
  826  HMB3   CLH     8      0.154    0.153   -0.001 
  827   CAB   CLH     8     -0.106   -0.098    0.008 
  828   HAB   CLH     8      0.126    0.125   -0.001 
  829   CBB   CLH     8     -0.360   -0.375   -0.015 
  830  HBB1   CLH     8      0.161    0.162    0.001 
  831  HBB2   CLH     8      0.161    0.162    0.001 
  832    NC   CLH     8     -0.342   -0.424   -0.082 
  833   C1C   CLH     8     -0.081   -0.005    0.076 
  834   C2C   CLH     8      0.315    0.329    0.014 
  835   C3C   CLH     8     -0.216   -0.231   -0.015 
  836   C4C   CLH     8      0.115    0.279    0.164 
  837   CMC   CLH     8     -0.611   -0.609    0.002 
  838  HMC1   CLH     8      0.167    0.167    0.000 
  839  HMC2   CLH     8      0.167    0.167    0.000 
  840  HMC3   CLH     8      0.167    0.167    0.000 
  841   CAC   CLH     8      0.133    0.135    0.002 
  842  HAC1   CLH     8      0.005    0.004   -0.001 
  843  HAC2   CLH     8      0.005    0.004   -0.001 
  844   CBC   CLH     8     -0.223   -0.223    0.000 
  845  HBC1   CLH     8      0.060    0.060    0.000 
  846  HBC2   CLH     8      0.060    0.060    0.000 
  847  HBC3   CLH     8      0.060    0.060    0.000 
  848    ND   CLH     8     -0.465   -0.500   -0.035 
  849   C1D   CLH     8      0.090    0.225    0.135 
  850   C2D   CLH     8      0.225    0.168   -0.057 
  851   C3D   CLH     8     -0.286   -0.291   -0.005 
  852   C4D   CLH     8      0.073    0.111    0.038 
  853   CMD   CLH     8     -0.490   -0.480    0.010 
  854  HMD1   CLH     8      0.145    0.145    0.000 
  855  HMD2   CLH     8      0.145    0.145    0.000 
  856  HMD3   CLH     8      0.145    0.145    0.000 
  857   CAD   CLH     8      0.734    0.731   -0.003 
  858   OBD   CLH     8     -0.483   -0.490   -0.007 
  859   CBD   CLH     8     -0.870   -0.917   -0.047 
  860  HBD1   CLH     8      0.235    0.245    0.010 
  861   CGD   CLH     8      0.832    0.838    0.006 
  862   O1D   CLH     8     -0.527   -0.527    0.000 
  863   O2D   CLH     8     -0.284   -0.280    0.004 
  864   CED   CLH     8     -0.212   -0.215   -0.003 
  865  HED1   CLH     8      0.126    0.127    0.001 
  866  HED2   CLH     8      0.126    0.127    0.001 
  867  HED3   CLH     8      0.126    0.127    0.001 
  868    C1   CLH     8     -0.191   -0.191    0.000 
  869    H1   CLH     8      0.182    0.182    0.000 
  870    H2   CLH     8      0.181    0.181    0.000 
  871    C2   CLH     8     -0.150   -0.150    0.000 
  872    H3   CLH     8      0.150    0.150    0.000 
  873    C3   CLH     8      0.000    0.000    0.000 
  874    C4   CLH     8     -0.270   -0.270    0.000 
  875    H5   CLH     8      0.090    0.090    0.000 
  876    H6   CLH     8      0.090    0.090    0.000 
  877    H7   CLH     8      0.090    0.090    0.000 
  878    C5   CLH     8     -0.180   -0.180    0.000 
  879    H8   CLH     8      0.090    0.090    0.000 
  880    H9   CLH     8      0.090    0.090    0.000 
  881    C6   CLH     8     -0.180   -0.180    0.000 
  882   H10   CLH     8      0.090    0.090    0.000 
  883   H11   CLH     8      0.090    0.090    0.000 
  884    C7   CLH     8     -0.180   -0.180    0.000 
  885   H12   CLH     8      0.090    0.090    0.000 
  886   H13   CLH     8      0.090    0.090    0.000 
  887    C8   CLH     8     -0.090   -0.090    0.000 
  888   H14   CLH     8      0.090    0.090    0.000 
  889    C9   CLH     8     -0.270   -0.270    0.000 
  890   H15   CLH     8      0.090    0.090    0.000 
  891   H16   CLH     8      0.090    0.090    0.000 
  892   H17   CLH     8      0.090    0.090    0.000 
  893   C10   CLH     8     -0.180   -0.180    0.000 
  894   H18   CLH     8      0.090    0.090    0.000 
  895   H19   CLH     8      0.090    0.090    0.000 
  896   C11   CLH     8     -0.180   -0.180    0.000 
  897   H20   CLH     8      0.090    0.090    0.000 
  898   H21   CLH     8      0.090    0.090    0.000 
  899   C12   CLH     8     -0.180   -0.180    0.000 
  900   H22   CLH     8      0.090    0.090    0.000 
  901   H23   CLH     8      0.090    0.090    0.000 
  902   C13   CLH     8     -0.270   -0.270    0.000 
  903   H24   CLH     8      0.090    0.090    0.000 
  904   H25   CLH     8      0.090    0.090    0.000 
  905   H26   CLH     8      0.090    0.090    0.000 
