  992    MG   CLI    10      0.981    0.984    0.003 
  993   CHA   CLI    10      0.341    0.358    0.017 
  994   CHB   CLI    10     -0.482   -0.467    0.015 
  995   HHB   CLI    10      0.153    0.148   -0.005 
  996   CHC   CLI    10     -0.100   -0.182   -0.082 
  997   HHC   CLI    10      0.107    0.112    0.005 
  998   CHD   CLI    10     -0.176   -0.341   -0.165 
  999   HHD   CLI    10      0.142    0.154    0.012 
 1000    NA   CLI    10     -0.498   -0.529   -0.031 
 1001   C1A   CLI    10     -0.075   -0.054    0.021 
 1002   C2A   CLI    10      0.138    0.146    0.008 
 1003   H2A   CLI    10      0.002    0.003    0.001 
 1004   C3A   CLI    10      0.048    0.047   -0.001 
 1005   H3A   CLI    10      0.030    0.030    0.000 
 1006   C4A   CLI    10      0.448    0.471    0.023 
 1007   CMA   CLI    10     -0.421   -0.413    0.008 
 1008  HMA1   CLI    10      0.116    0.114   -0.002 
 1009  HMA2   CLI    10      0.116    0.114   -0.002 
 1010  HMA3   CLI    10      0.116    0.114   -0.002 
 1011   CAA   CLI    10      0.128    0.127   -0.001 
 1012  HAA1   CLI    10     -0.024   -0.024    0.000 
 1013  HAA2   CLI    10     -0.024   -0.024    0.000 
 1014   CBA   CLI    10     -0.250   -0.247    0.003 
 1015  HBA1   CLI    10      0.030    0.028   -0.002 
 1016  HBA2   CLI    10      0.030    0.028   -0.002 
 1017   CGA   CLI    10      0.783    0.783    0.000 
 1018   O1A   CLI    10     -0.544   -0.544    0.000 
 1019   O2A   CLI    10     -0.331   -0.331    0.000 
 1020    NB   CLI    10     -0.442   -0.437    0.005 
 1021   C1B   CLI    10      0.143    0.115   -0.028 
 1022   C2B   CLI    10      0.260    0.236   -0.024 
 1023   C3B   CLI    10     -0.071   -0.110   -0.039 
 1024   C4B   CLI    10      0.094    0.158    0.064 
 1025   CMB   CLI    10     -0.550   -0.548    0.002 
 1026  HMB1   CLI    10      0.154    0.153   -0.001 
 1027  HMB2   CLI    10      0.154    0.153   -0.001 
 1028  HMB3   CLI    10      0.154    0.153   -0.001 
 1029   CAB   CLI    10     -0.106   -0.098    0.008 
 1030   HAB   CLI    10      0.126    0.125   -0.001 
 1031   CBB   CLI    10     -0.360   -0.375   -0.015 
 1032  HBB1   CLI    10      0.161    0.162    0.001 
 1033  HBB2   CLI    10      0.161    0.162    0.001 
 1034    NC   CLI    10     -0.342   -0.424   -0.082 
 1035   C1C   CLI    10     -0.081   -0.005    0.076 
 1036   C2C   CLI    10      0.315    0.329    0.014 
 1037   C3C   CLI    10     -0.216   -0.231   -0.015 
 1038   C4C   CLI    10      0.115    0.279    0.164 
 1039   CMC   CLI    10     -0.611   -0.609    0.002 
 1040  HMC1   CLI    10      0.167    0.167    0.000 
 1041  HMC2   CLI    10      0.167    0.167    0.000 
 1042  HMC3   CLI    10      0.167    0.167    0.000 
 1043   CAC   CLI    10      0.133    0.135    0.002 
 1044  HAC1   CLI    10      0.005    0.004   -0.001 
 1045  HAC2   CLI    10      0.005    0.004   -0.001 
 1046   CBC   CLI    10     -0.223   -0.223    0.000 
 1047  HBC1   CLI    10      0.060    0.060    0.000 
 1048  HBC2   CLI    10      0.060    0.060    0.000 
 1049  HBC3   CLI    10      0.060    0.060    0.000 
 1050    ND   CLI    10     -0.465   -0.500   -0.035 
 1051   C1D   CLI    10      0.090    0.225    0.135 
 1052   C2D   CLI    10      0.225    0.168   -0.057 
 1053   C3D   CLI    10     -0.286   -0.291   -0.005 
 1054   C4D   CLI    10      0.073    0.111    0.038 
 1055   CMD   CLI    10     -0.490   -0.480    0.010 
 1056  HMD1   CLI    10      0.145    0.145    0.000 
 1057  HMD2   CLI    10      0.145    0.145    0.000 
 1058  HMD3   CLI    10      0.145    0.145    0.000 
 1059   CAD   CLI    10      0.734    0.731   -0.003 
 1060   OBD   CLI    10     -0.483   -0.490   -0.007 
 1061   CBD   CLI    10     -0.870   -0.917   -0.047 
 1062  HBD1   CLI    10      0.235    0.245    0.010 
 1063   CGD   CLI    10      0.832    0.838    0.006 
 1064   O1D   CLI    10     -0.527   -0.527    0.000 
 1065   O2D   CLI    10     -0.284   -0.280    0.004 
 1066   CED   CLI    10     -0.212   -0.215   -0.003 
 1067  HED1   CLI    10      0.126    0.127    0.001 
 1068  HED2   CLI    10      0.126    0.127    0.001 
 1069  HED3   CLI    10      0.126    0.127    0.001 
 1070    C1   CLI    10     -0.191   -0.191    0.000 
 1071    H1   CLI    10      0.182    0.182    0.000 
 1072    H2   CLI    10      0.181    0.181    0.000 
 1073    C2   CLI    10     -0.150   -0.150    0.000 
 1074    H3   CLI    10      0.150    0.150    0.000 
 1075    C3   CLI    10     -0.150   -0.150    0.000 
 1076    H4   CLI    10      0.150    0.150    0.000 
 1077    C4   CLI    10     -0.270   -0.270    0.000 
 1078    H5   CLI    10      0.090    0.090    0.000 
 1079    H6   CLI    10      0.090    0.090    0.000 
 1080    H7   CLI    10      0.090    0.090    0.000 
