  1  MG          1.068        1.071       0.003
  2  CHA         0.340        0.380       0.040
  3  CHB        -0.471       -0.426       0.045
  4  HHB         0.148        0.141      -0.007
  5  CHC        -0.293       -0.325      -0.032
  6  HHC         0.186        0.185      -0.001
  7  CHD        -0.317       -0.491      -0.174
  8  HHD         0.164        0.177       0.013
  9  NA         -0.565       -0.571       0.048
 10  C1A        -0.050       -0.042       0.008
 11  C2A         0.157        0.161       0.004
 12  H2A         0.002        0.003       0.001
 13  C3A         0.076        0.075      -0.001
 14  H3A         0.021        0.021       0.000
 15  C4A         0.476        0.478       0.002
 16  CMA        -0.416       -0.411       0.006
 17  HMA1        0.113        0.112      -0.001
 18  HMA2        0.113        0.112      -0.001
 19  HMA3        0.113        0.112      -0.001
 20  CAA        -0.097       -0.095       0.002
 21  HAA1        0.015        0.015       0.000
 22  HAA2        0.015        0.015       0.000
 23  HAA3        0.015        0.015       0.000
 24  NB         -0.481       -0.464       0.017
 25  C1B         0.133        0.090      -0.043
 26  C2B         0.224        0.204      -0.020
 27  C3B        -0.031       -0.068      -0.037
 28  C4B         0.192        0.239       0.047
 29  CMB        -0.549       -0.537       0.012
 30  HMB1        0.157        0.154      -0.003
 31  HMB2        0.157        0.154      -0.003
 32  HMB3        0.157        0.154      -0.003
 33  CAB        -0.138       -0.130       0.008
 34  HAB         0.124        0.123      -0.001
 35  CBB        -0.337       -0.351      -0.014
 36  HBB1        0.168        0.169       0.001
 37  HBB2        0.168        0.169       0.001
 38  NC         -0.582       -0.648      -0.066
 39  C1C         0.278        0.305       0.027
 40  C2C        -0.092       -0.072       0.020
 41  C3C        -0.274       -0.281      -0.007
 42  C4C         0.379        0.535       0.156
 43  CMC         0.422        0.417      -0.005
 44  OMC        -0.479       -0.473       0.006
 45  HMC         0.015        0.015       0.000
 46  CAC         0.182        0.181      -0.001
 47  HAC1       -0.004       -0.004       0.000
 48  HAC2       -0.004       -0.004       0.000
 49  CBC        -0.220       -0.217       0.003
 50  HBC1        0.062        0.061      -0.001
 51  HBC2        0.062        0.061      -0.001
 52  HBC3        0.062        0.061      -0.001
 53  ND         -0.520       -0.549      -0.029
 54  C1D         0.177        0.306       0.129
 55  C2D         0.223        0.157      -0.066
 56  C3D        -0.287       -0.291      -0.004
 57  C4D         0.089        0.104       0.015
 58  CMD        -0.524       -0.515       0.009
 59  HMD1        0.156        0.154      -0.002
 60  HMD2        0.156        0.154      -0.002
 61  HMD3        0.156        0.154      -0.002
 62  CAD         0.736        0.736       0.000
 63  OBD        -0.481       -0.487      -0.006
 64  CBD        -0.859       -0.913      -0.054
 65  HBD1        0.230        0.242       0.012
 66  CGD         0.820        0.827       0.007
 67  O1D        -0.527       -0.527       0.000
 68  O2D        -0.277       -0.273       0.004
 69  CED        -0.210       -0.212      -0.002
 70  HED1        0.126        0.126       0.000
 71  HED2        0.126        0.126       0.000
 72  HED3        0.126        0.126       0.000
