 1081    MG   CHA    11      1.068    1.071    0.003 
 1082   CHA   CHA    11      0.340    0.380    0.040 
 1083   CHB   CHA    11     -0.471   -0.426    0.045 
 1084   HHB   CHA    11      0.148    0.141   -0.007 
 1085   CHC   CHA    11     -0.293   -0.325   -0.032 
 1086   HHC   CHA    11      0.186    0.185   -0.001 
 1087   CHD   CHA    11     -0.317   -0.491   -0.174 
 1088   HHD   CHA    11      0.164    0.177    0.013 
 1089    NA   CHA    11     -0.565   -0.571    0.048 
 1090   C1A   CHA    11     -0.050   -0.042    0.008 
 1091   C2A   CHA    11      0.157    0.161    0.004 
 1092   H2A   CHA    11      0.002    0.003    0.001 
 1093   C3A   CHA    11      0.076    0.075   -0.001 
 1094   H3A   CHA    11      0.021    0.021    0.000 
 1095   C4A   CHA    11      0.476    0.478    0.002 
 1096   CMA   CHA    11     -0.416   -0.411    0.006 
 1097  HMA1   CHA    11      0.113    0.112   -0.001 
 1098  HMA2   CHA    11      0.113    0.112   -0.001 
 1099  HMA3   CHA    11      0.113    0.112   -0.001 
 1100   CAA   CHA    11      0.049    0.051    0.002 
 1101  HAA1   CHA    11     -0.005   -0.005    0.000 
 1102  HAA2   CHA    11     -0.005   -0.005    0.000 
 1103   CBA   CHA    11     -0.234   -0.234    0.000 
 1104  HBA1   CHA    11      0.029    0.029    0.000 
 1105  HBA2   CHA    11      0.029    0.029    0.000 
 1106   CGA   CHA    11      0.789    0.789    0.000 
 1107   O1A   CHA    11     -0.352   -0.352    0.000 
 1108   O2A   CHA    11     -0.352   -0.352    0.000 
 1109    NB   CHA    11     -0.481   -0.464    0.017 
 1110   C1B   CHA    11      0.133    0.090   -0.043 
 1111   C2B   CHA    11      0.224    0.204   -0.020 
 1112   C3B   CHA    11     -0.031   -0.068   -0.037 
 1113   C4B   CHA    11      0.192    0.239    0.047 
 1114   CMB   CHA    11     -0.549   -0.537    0.012 
 1115  HMB1   CHA    11      0.157    0.154   -0.003 
 1116  HMB2   CHA    11      0.157    0.154   -0.003 
 1117  HMB3   CHA    11      0.157    0.154   -0.003 
 1118   CAB   CHA    11     -0.138   -0.130    0.008 
 1119   HAB   CHA    11      0.124    0.123   -0.001 
 1120   CBB   CHA    11     -0.337   -0.351   -0.014 
 1121  HBB1   CHA    11      0.168    0.169    0.001 
 1122  HBB2   CHA    11      0.168    0.169    0.001 
 1123    NC   CHA    11     -0.582   -0.648   -0.066 
 1124   C1C   CHA    11      0.278    0.305    0.027 
 1125   C2C   CHA    11     -0.092   -0.072    0.020 
 1126   C3C   CHA    11     -0.274   -0.281   -0.007 
 1127   C4C   CHA    11      0.379    0.535    0.156 
 1128   CMC   CHA    11      0.422    0.417   -0.005 
 1129   OMC   CHA    11     -0.479   -0.473    0.006 
 1130   HMC   CHA    11      0.015    0.015    0.000 
 1131   CAC   CHA    11      0.182    0.181   -0.001 
 1132  HAC1   CHA    11     -0.004   -0.004    0.000 
 1133  HAC2   CHA    11     -0.004   -0.004    0.000 
 1134   CBC   CHA    11     -0.220   -0.217    0.003 
 1135  HBC1   CHA    11      0.062    0.061   -0.001 
 1136  HBC2   CHA    11      0.062    0.061   -0.001 
 1137  HBC3   CHA    11      0.062    0.061   -0.001 
 1138    ND   CHA    11     -0.520   -0.549   -0.029 
 1139   C1D   CHA    11      0.177    0.306    0.129 
 1140   C2D   CHA    11      0.223    0.157   -0.066 
 1141   C3D   CHA    11     -0.287   -0.291   -0.004 
 1142   C4D   CHA    11      0.089    0.104    0.015 
 1143   CMD   CHA    11     -0.524   -0.515    0.009 
 1144  HMD1   CHA    11      0.156    0.154   -0.002 
 1145  HMD2   CHA    11      0.156    0.154   -0.002 
 1146  HMD3   CHA    11      0.156    0.154   -0.002 
 1147   CAD   CHA    11      0.736    0.736    0.000 
 1148   OBD   CHA    11     -0.481   -0.487   -0.006 
 1149   CBD   CHA    11     -0.859   -0.913   -0.054 
 1150  HBD1   CHA    11      0.230    0.242    0.012 
 1151   CGD   CHA    11      0.820    0.827    0.007 
 1152   O1D   CHA    11     -0.527   -0.527    0.000 
 1153   O2D   CHA    11     -0.277   -0.273    0.004 
 1154   CED   CHA    11     -0.210   -0.212   -0.002 
 1155  HED1   CHA    11      0.126    0.126    0.000 
 1156  HED2   CHA    11      0.126    0.126    0.000 
 1157  HED3   CHA    11      0.126    0.126    0.000 
