 1158    MG   CHB    12      1.068    1.071    0.003 
 1159   CHA   CHB    12      0.340    0.380    0.040 
 1160   CHB   CHB    12     -0.471   -0.426    0.045 
 1161   HHB   CHB    12      0.148    0.141   -0.007 
 1162   CHC   CHB    12     -0.293   -0.325   -0.032 
 1163   HHC   CHB    12      0.186    0.185   -0.001 
 1164   CHD   CHB    12     -0.317   -0.491   -0.174 
 1165   HHD   CHB    12      0.164    0.177    0.013 
 1166    NA   CHB    12     -0.565   -0.571    0.048 
 1167   C1A   CHB    12     -0.050   -0.042    0.008 
 1168   C2A   CHB    12      0.157    0.161    0.004 
 1169   H2A   CHB    12      0.002    0.003    0.001 
 1170   C3A   CHB    12      0.076    0.075   -0.001 
 1171   H3A   CHB    12      0.021    0.021    0.000 
 1172   C4A   CHB    12      0.476    0.478    0.002 
 1173   CMA   CHB    12     -0.416   -0.411    0.006 
 1174  HMA1   CHB    12      0.113    0.112   -0.001 
 1175  HMA2   CHB    12      0.113    0.112   -0.001 
 1176  HMA3   CHB    12      0.113    0.112   -0.001 
 1177   CAA   CHB    12      0.049    0.051    0.002 
 1178  HAA1   CHB    12     -0.005   -0.005    0.000 
 1179  HAA2   CHB    12     -0.005   -0.005    0.000 
 1180   CBA   CHB    12     -0.234   -0.234    0.000 
 1181  HBA1   CHB    12      0.029    0.029    0.000 
 1182  HBA2   CHB    12      0.029    0.029    0.000 
 1183   CGA   CHB    12      0.789    0.789    0.000 
 1184   O1A   CHB    12     -0.543   -0.543    0.000 
 1185   O2A   CHB    12     -0.338   -0.337    0.001 
 1186    NB   CHB    12     -0.481   -0.464    0.017 
 1187   C1B   CHB    12      0.133    0.090   -0.043 
 1188   C2B   CHB    12      0.224    0.204   -0.020 
 1189   C3B   CHB    12     -0.031   -0.068   -0.037 
 1190   C4B   CHB    12      0.192    0.239    0.047 
 1191   CMB   CHB    12     -0.549   -0.537    0.012 
 1192  HMB1   CHB    12      0.157    0.154   -0.003 
 1193  HMB2   CHB    12      0.157    0.154   -0.003 
 1194  HMB3   CHB    12      0.157    0.154   -0.003 
 1195   CAB   CHB    12     -0.138   -0.130    0.008 
 1196   HAB   CHB    12      0.124    0.123   -0.001 
 1197   CBB   CHB    12     -0.337   -0.351   -0.014 
 1198  HBB1   CHB    12      0.168    0.169    0.001 
 1199  HBB2   CHB    12      0.168    0.169    0.001 
 1200    NC   CHB    12     -0.582   -0.648   -0.066 
 1201   C1C   CHB    12      0.278    0.305    0.027 
 1202   C2C   CHB    12     -0.092   -0.072    0.020 
 1203   C3C   CHB    12     -0.274   -0.281   -0.007 
 1204   C4C   CHB    12      0.379    0.535    0.156 
 1205   CMC   CHB    12      0.422    0.417   -0.005 
 1206   OMC   CHB    12     -0.479   -0.473    0.006 
 1207   HMC   CHB    12      0.015    0.015    0.000 
 1208   CAC   CHB    12      0.182    0.181   -0.001 
 1209  HAC1   CHB    12     -0.004   -0.004    0.000 
 1210  HAC2   CHB    12     -0.004   -0.004    0.000 
 1211   CBC   CHB    12     -0.220   -0.217    0.003 
 1212  HBC1   CHB    12      0.062    0.061   -0.001 
 1213  HBC2   CHB    12      0.062    0.061   -0.001 
 1214  HBC3   CHB    12      0.062    0.061   -0.001 
 1215    ND   CHB    12     -0.520   -0.549   -0.029 
 1216   C1D   CHB    12      0.177    0.306    0.129 
 1217   C2D   CHB    12      0.223    0.157   -0.066 
 1218   C3D   CHB    12     -0.287   -0.291   -0.004 
 1219   C4D   CHB    12      0.089    0.104    0.015 
 1220   CMD   CHB    12     -0.524   -0.515    0.009 
 1221  HMD1   CHB    12      0.156    0.154   -0.002 
 1222  HMD2   CHB    12      0.156    0.154   -0.002 
 1223  HMD3   CHB    12      0.156    0.154   -0.002 
 1224   CAD   CHB    12      0.736    0.736    0.000 
 1225   OBD   CHB    12     -0.481   -0.487   -0.006 
 1226   CBD   CHB    12     -0.859   -0.913   -0.054 
 1227  HBD1   CHB    12      0.230    0.242    0.012 
 1228   CGD   CHB    12      0.820    0.827    0.007 
 1229   O1D   CHB    12     -0.527   -0.527    0.000 
 1230   O2D   CHB    12     -0.277   -0.273    0.004 
 1231   CED   CHB    12     -0.210   -0.212   -0.002 
 1232  HED1   CHB    12      0.126    0.126    0.000 
 1233  HED2   CHB    12      0.126    0.126    0.000 
 1234  HED3   CHB    12      0.126    0.126    0.000 
 1235    C1   CHB    12     -0.180   -0.181   -0.001 
 1236    H1   CHB    12      0.179    0.179    0.000 
 1237    H2   CHB    12      0.178    0.178    0.000 
