 1530    MG   CHE    15      1.068    1.071    0.003 
 1531   CHA   CHE    15      0.340    0.380    0.040 
 1532   CHB   CHE    15     -0.471   -0.426    0.045 
 1533   HHB   CHE    15      0.148    0.141   -0.007 
 1534   CHC   CHE    15     -0.293   -0.325   -0.032 
 1535   HHC   CHE    15      0.186    0.185   -0.001 
 1536   CHD   CHE    15     -0.317   -0.491   -0.174 
 1537   HHD   CHE    15      0.164    0.177    0.013 
 1538    NA   CHE    15     -0.565   -0.571    0.048 
 1539   C1A   CHE    15     -0.050   -0.042    0.008 
 1540   C2A   CHE    15      0.157    0.161    0.004 
 1541   H2A   CHE    15      0.002    0.003    0.001 
 1542   C3A   CHE    15      0.076    0.075   -0.001 
 1543   H3A   CHE    15      0.021    0.021    0.000 
 1544   C4A   CHE    15      0.476    0.478    0.002 
 1545   CMA   CHE    15     -0.416   -0.411    0.006 
 1546  HMA1   CHE    15      0.113    0.112   -0.001 
 1547  HMA2   CHE    15      0.113    0.112   -0.001 
 1548  HMA3   CHE    15      0.113    0.112   -0.001 
 1549   CAA   CHE    15      0.049    0.051    0.002 
 1550  HAA1   CHE    15     -0.005   -0.005    0.000 
 1551  HAA2   CHE    15     -0.005   -0.005    0.000 
 1552   CBA   CHE    15     -0.234   -0.234    0.000 
 1553  HBA1   CHE    15      0.029    0.029    0.000 
 1554  HBA2   CHE    15      0.029    0.029    0.000 
 1555   CGA   CHE    15      0.789    0.789    0.000 
 1556   O1A   CHE    15     -0.543   -0.543    0.000 
 1557   O2A   CHE    15     -0.338   -0.337    0.001 
 1558    NB   CHE    15     -0.481   -0.464    0.017 
 1559   C1B   CHE    15      0.133    0.090   -0.043 
 1560   C2B   CHE    15      0.224    0.204   -0.020 
 1561   C3B   CHE    15     -0.031   -0.068   -0.037 
 1562   C4B   CHE    15      0.192    0.239    0.047 
 1563   CMB   CHE    15     -0.549   -0.537    0.012 
 1564  HMB1   CHE    15      0.157    0.154   -0.003 
 1565  HMB2   CHE    15      0.157    0.154   -0.003 
 1566  HMB3   CHE    15      0.157    0.154   -0.003 
 1567   CAB   CHE    15     -0.138   -0.130    0.008 
 1568   HAB   CHE    15      0.124    0.123   -0.001 
 1569   CBB   CHE    15     -0.337   -0.351   -0.014 
 1570  HBB1   CHE    15      0.168    0.169    0.001 
 1571  HBB2   CHE    15      0.168    0.169    0.001 
 1572    NC   CHE    15     -0.582   -0.648   -0.066 
 1573   C1C   CHE    15      0.278    0.305    0.027 
 1574   C2C   CHE    15     -0.092   -0.072    0.020 
 1575   C3C   CHE    15     -0.274   -0.281   -0.007 
 1576   C4C   CHE    15      0.379    0.535    0.156 
 1577   CMC   CHE    15      0.422    0.417   -0.005 
 1578   OMC   CHE    15     -0.479   -0.473    0.006 
 1579   HMC   CHE    15      0.015    0.015    0.000 
 1580   CAC   CHE    15      0.182    0.181   -0.001 
 1581  HAC1   CHE    15     -0.004   -0.004    0.000 
 1582  HAC2   CHE    15     -0.004   -0.004    0.000 
 1583   CBC   CHE    15     -0.220   -0.217    0.003 
 1584  HBC1   CHE    15      0.062    0.061   -0.001 
 1585  HBC2   CHE    15      0.062    0.061   -0.001 
 1586  HBC3   CHE    15      0.062    0.061   -0.001 
 1587    ND   CHE    15     -0.520   -0.549   -0.029 
 1588   C1D   CHE    15      0.177    0.306    0.129 
 1589   C2D   CHE    15      0.223    0.157   -0.066 
 1590   C3D   CHE    15     -0.287   -0.291   -0.004 
 1591   C4D   CHE    15      0.089    0.104    0.015 
 1592   CMD   CHE    15     -0.524   -0.515    0.009 
 1593  HMD1   CHE    15      0.156    0.154   -0.002 
 1594  HMD2   CHE    15      0.156    0.154   -0.002 
 1595  HMD3   CHE    15      0.156    0.154   -0.002 
 1596   CAD   CHE    15      0.736    0.736    0.000 
 1597   OBD   CHE    15     -0.481   -0.487   -0.006 
 1598   CBD   CHE    15     -0.859   -0.913   -0.054 
 1599  HBD1   CHE    15      0.230    0.242    0.012 
 1600   CGD   CHE    15      0.820    0.827    0.007 
 1601   O1D   CHE    15     -0.527   -0.527    0.000 
 1602   O2D   CHE    15     -0.277   -0.273    0.004 
 1603   CED   CHE    15     -0.210   -0.212   -0.002 
 1604  HED1   CHE    15      0.126    0.126    0.000 
 1605  HED2   CHE    15      0.126    0.126    0.000 
 1606  HED3   CHE    15      0.126    0.126    0.000 
 1607    C1   CHE    15     -0.180   -0.181   -0.001 
 1608    H1   CHE    15      0.179    0.179    0.000 
 1609    H2   CHE    15      0.178    0.178    0.000 
 1610    C2   CHE    15     -0.150   -0.150    0.000 
 1611    H3   CHE    15      0.150    0.150    0.000 
 1612    C3   CHE    15      0.000    0.000    0.000 
 1613    C4   CHE    15     -0.270   -0.270    0.000 
 1614    H5   CHE    15      0.090    0.090    0.000 
 1615    H6   CHE    15      0.090    0.090    0.000 
 1616    H7   CHE    15      0.090    0.090    0.000 
 1617    C5   CHE    15     -0.180   -0.180    0.000 
 1618    H8   CHE    15      0.090    0.090    0.000 
 1619    H9   CHE    15      0.090    0.090    0.000 
 1620    C6   CHE    15     -0.180   -0.180    0.000 
 1621   H10   CHE    15      0.090    0.090    0.000 
 1622   H11   CHE    15      0.090    0.090    0.000 
 1623    C7   CHE    15     -0.180   -0.180    0.000 
 1624   H12   CHE    15      0.090    0.090    0.000 
 1625   H13   CHE    15      0.090    0.090    0.000 
 1626    C8   CHE    15     -0.090   -0.090    0.000 
 1627   H14   CHE    15      0.090    0.090    0.000 
 1628    C9   CHE    15     -0.270   -0.270    0.000 
