 1660    MG   CHF    16      1.068    1.071    0.003 
 1661   CHA   CHF    16      0.340    0.380    0.040 
 1662   CHB   CHF    16     -0.471   -0.426    0.045 
 1663   HHB   CHF    16      0.148    0.141   -0.007 
 1664   CHC   CHF    16     -0.293   -0.325   -0.032 
 1665   HHC   CHF    16      0.186    0.185   -0.001 
 1666   CHD   CHF    16     -0.317   -0.491   -0.174 
 1667   HHD   CHF    16      0.164    0.177    0.013 
 1668    NA   CHF    16     -0.565   -0.571    0.048 
 1669   C1A   CHF    16     -0.050   -0.042    0.008 
 1670   C2A   CHF    16      0.157    0.161    0.004 
 1671   H2A   CHF    16      0.002    0.003    0.001 
 1672   C3A   CHF    16      0.076    0.075   -0.001 
 1673   H3A   CHF    16      0.021    0.021    0.000 
 1674   C4A   CHF    16      0.476    0.478    0.002 
 1675   CMA   CHF    16     -0.416   -0.411    0.006 
 1676  HMA1   CHF    16      0.113    0.112   -0.001 
 1677  HMA2   CHF    16      0.113    0.112   -0.001 
 1678  HMA3   CHF    16      0.113    0.112   -0.001 
 1679   CAA   CHF    16      0.049    0.051    0.002 
 1680  HAA1   CHF    16     -0.005   -0.005    0.000 
 1681  HAA2   CHF    16     -0.005   -0.005    0.000 
 1682   CBA   CHF    16     -0.234   -0.234    0.000 
 1683  HBA1   CHF    16      0.029    0.029    0.000 
 1684  HBA2   CHF    16      0.029    0.029    0.000 
 1685   CGA   CHF    16      0.789    0.789    0.000 
 1686   O1A   CHF    16     -0.543   -0.543    0.000 
 1687   O2A   CHF    16     -0.338   -0.337    0.001 
 1688    NB   CHF    16     -0.481   -0.464    0.017 
 1689   C1B   CHF    16      0.133    0.090   -0.043 
 1690   C2B   CHF    16      0.224    0.204   -0.020 
 1691   C3B   CHF    16     -0.031   -0.068   -0.037 
 1692   C4B   CHF    16      0.192    0.239    0.047 
 1693   CMB   CHF    16     -0.549   -0.537    0.012 
 1694  HMB1   CHF    16      0.157    0.154   -0.003 
 1695  HMB2   CHF    16      0.157    0.154   -0.003 
 1696  HMB3   CHF    16      0.157    0.154   -0.003 
 1697   CAB   CHF    16     -0.138   -0.130    0.008 
 1698   HAB   CHF    16      0.124    0.123   -0.001 
 1699   CBB   CHF    16     -0.337   -0.351   -0.014 
 1700  HBB1   CHF    16      0.168    0.169    0.001 
 1701  HBB2   CHF    16      0.168    0.169    0.001 
 1702    NC   CHF    16     -0.582   -0.648   -0.066 
 1703   C1C   CHF    16      0.278    0.305    0.027 
 1704   C2C   CHF    16     -0.092   -0.072    0.020 
 1705   C3C   CHF    16     -0.274   -0.281   -0.007 
 1706   C4C   CHF    16      0.379    0.535    0.156 
 1707   CMC   CHF    16      0.422    0.417   -0.005 
 1708   OMC   CHF    16     -0.479   -0.473    0.006 
 1709   HMC   CHF    16      0.015    0.015    0.000 
 1710   CAC   CHF    16      0.182    0.181   -0.001 
 1711  HAC1   CHF    16     -0.004   -0.004    0.000 
 1712  HAC2   CHF    16     -0.004   -0.004    0.000 
 1713   CBC   CHF    16     -0.220   -0.217    0.003 
 1714  HBC1   CHF    16      0.062    0.061   -0.001 
 1715  HBC2   CHF    16      0.062    0.061   -0.001 
 1716  HBC3   CHF    16      0.062    0.061   -0.001 
 1717    ND   CHF    16     -0.520   -0.549   -0.029 
 1718   C1D   CHF    16      0.177    0.306    0.129 
 1719   C2D   CHF    16      0.223    0.157   -0.066 
 1720   C3D   CHF    16     -0.287   -0.291   -0.004 
 1721   C4D   CHF    16      0.089    0.104    0.015 
 1722   CMD   CHF    16     -0.524   -0.515    0.009 
 1723  HMD1   CHF    16      0.156    0.154   -0.002 
 1724  HMD2   CHF    16      0.156    0.154   -0.002 
 1725  HMD3   CHF    16      0.156    0.154   -0.002 
 1726   CAD   CHF    16      0.736    0.736    0.000 
 1727   OBD   CHF    16     -0.481   -0.487   -0.006 
 1728   CBD   CHF    16     -0.859   -0.913   -0.054 
 1729  HBD1   CHF    16      0.230    0.242    0.012 
 1730   CGD   CHF    16      0.820    0.827    0.007 
 1731   O1D   CHF    16     -0.527   -0.527    0.000 
 1732   O2D   CHF    16     -0.277   -0.273    0.004 
 1733   CED   CHF    16     -0.210   -0.212   -0.002 
 1734  HED1   CHF    16      0.126    0.126    0.000 
 1735  HED2   CHF    16      0.126    0.126    0.000 
 1736  HED3   CHF    16      0.126    0.126    0.000 
 1737    C1   CHF    16     -0.180   -0.181   -0.001 
 1738    H1   CHF    16      0.179    0.179    0.000 
 1739    H2   CHF    16      0.178    0.178    0.000 
 1740    C2   CHF    16     -0.150   -0.150    0.000 
 1741    H3   CHF    16      0.150    0.150    0.000 
 1742    C3   CHF    16      0.000    0.000    0.000 
 1743    C4   CHF    16     -0.270   -0.270    0.000 
 1744    H5   CHF    16      0.090    0.090    0.000 
 1745    H6   CHF    16      0.090    0.090    0.000 
 1746    H7   CHF    16      0.090    0.090    0.000 
 1747    C5   CHF    16     -0.180   -0.180    0.000 
 1748    H8   CHF    16      0.090    0.090    0.000 
 1749    H9   CHF    16      0.090    0.090    0.000 
 1750    C6   CHF    16     -0.180   -0.180    0.000 
 1751   H10   CHF    16      0.090    0.090    0.000 
 1752   H11   CHF    16      0.090    0.090    0.000 
 1753    C7   CHF    16     -0.270   -0.270    0.000 
 1754   H12   CHF    16      0.090    0.090    0.000 
 1755   H13   CHF    16      0.090    0.090    0.000 
 1756   H14   CHF    16      0.090    0.090    0.000 
 
