 1829    MG   CHH    18      1.068    1.071    0.003 
 1830   CHA   CHH    18      0.340    0.380    0.040 
 1831   CHB   CHH    18     -0.471   -0.426    0.045 
 1832   HHB   CHH    18      0.148    0.141   -0.007 
 1833   CHC   CHH    18     -0.293   -0.325   -0.032 
 1834   HHC   CHH    18      0.186    0.185   -0.001 
 1835   CHD   CHH    18     -0.317   -0.491   -0.174 
 1836   HHD   CHH    18      0.164    0.177    0.013 
 1837    NA   CHH    18     -0.565   -0.571    0.048 
 1838   C1A   CHH    18     -0.050   -0.042    0.008 
 1839   C2A   CHH    18      0.157    0.161    0.004 
 1840   H2A   CHH    18      0.002    0.003    0.001 
 1841   C3A   CHH    18      0.076    0.075   -0.001 
 1842   H3A   CHH    18      0.021    0.021    0.000 
 1843   C4A   CHH    18      0.476    0.478    0.002 
 1844   CMA   CHH    18     -0.416   -0.411    0.006 
 1845  HMA1   CHH    18      0.113    0.112   -0.001 
 1846  HMA2   CHH    18      0.113    0.112   -0.001 
 1847  HMA3   CHH    18      0.113    0.112   -0.001 
 1848   CAA   CHH    18      0.049    0.051    0.002 
 1849  HAA1   CHH    18     -0.005   -0.005    0.000 
 1850  HAA2   CHH    18     -0.005   -0.005    0.000 
 1851   CBA   CHH    18     -0.234   -0.234    0.000 
 1852  HBA1   CHH    18      0.029    0.029    0.000 
 1853  HBA2   CHH    18      0.029    0.029    0.000 
 1854   CGA   CHH    18      0.789    0.789    0.000 
 1855   O1A   CHH    18     -0.543   -0.543    0.000 
 1856   O2A   CHH    18     -0.338   -0.337    0.001 
 1857    NB   CHH    18     -0.481   -0.464    0.017 
 1858   C1B   CHH    18      0.133    0.090   -0.043 
 1859   C2B   CHH    18      0.224    0.204   -0.020 
 1860   C3B   CHH    18     -0.031   -0.068   -0.037 
 1861   C4B   CHH    18      0.192    0.239    0.047 
 1862   CMB   CHH    18     -0.549   -0.537    0.012 
 1863  HMB1   CHH    18      0.157    0.154   -0.003 
 1864  HMB2   CHH    18      0.157    0.154   -0.003 
 1865  HMB3   CHH    18      0.157    0.154   -0.003 
 1866   CAB   CHH    18     -0.138   -0.130    0.008 
 1867   HAB   CHH    18      0.124    0.123   -0.001 
 1868   CBB   CHH    18     -0.337   -0.351   -0.014 
